ID,Area,Chla,TNmean,TN5,TN95,TPmean,TP5,TP95,N_Load,N_EN,N_DE,N_Outflow,P_Load,P_EN,P_DE,P_Outflow
NLA12_MT-113,1.68,0.60020141,0.035,0.015,0.06,0.0053,0.0027,0.0083,0.00036619718309859154,0.0007700080175699151,0.0001015,0.0011675408450704226,0.00013591549295774647,8.085767084060426e-5,6.89e-5,0.00017679904225352113
NLA12_MT-118,0.5,13.28,5.6,4.1,7.6,0.78,0.44,1.3,0.010379904306220097,0.0065081337736369515,0.016239999999999997,0.001157511961722488,0.008779904306220096,0.0013273649075062838,0.01014,0.00016122488038277513
NLA12_MT-124,1.23,0.742,0.13,0.074,0.21,0.012,0.0051,0.022,0.0012735102040816327,6.196868827577603e-5,0.001196,0.00016504163265306123,0.00032644897959183675,1.4185335075280477e-5,0.00033600000000000004,1.523461224489796e-5
NLA12_MT-126,0.18,1.572,3.6,2.5,4.9,0.4,0.29,0.5,0.01246984126984127,0.010460425043515067,0.01044,0.01283657142857143,0.004612698412698413,0.0016712201703961347,0.0052,0.0014262857142857144
NLA12_MT-136,6.89,0.684,0.035,0.024,0.05,0.0042,0.0027,0.006,0.0003312827523353839,8.005747540971162e-6,0.000322,3.300287081339713e-5,0.00011876851218956482,1.76083750532057e-6,0.0001176,3.960344497607655e-6
NLA12_MT-140,0.16,0.338,0.11,0.052,0.21,0.011,0.0041,0.028,0.0003357142857142857,0.00050895850737956,0.001012,4.7520000000000006e-5,0.00012285714285714287,7.638444128378369e-5,0.000308,4.752e-6
NLA12_MT-143,0.27,0.63,1.9,0.57,3.6,0.097,0.032,0.2,0.000654054054054054,0.006039176269716305,0.005509999999999999,0.002218378378378378,0.0003810810810810811,0.0006497438620369936,0.001261,0.00011325405405405406
NLA12_MT-144,0.97,5.0,0.88,0.59,1.2,0.12,0.07,0.2,8.346883468834688e-5,0.002743021823475733,0.002552,0.00037088780487804873,0.0009845528455284553,0.0005638375321120062,0.00156,5.057560975609756e-5
NLA12_MT-154,0.6,35.77142857,0.47,0.39,0.57,0.067,0.053,0.08,0.0014790055248618784,0.009478132514102105,0.0013629999999999998,0.00951259226519337,0.0005585635359116022,0.0017313736184336932,0.000871,0.0013560503867403315
NLA12_MT-156,0.73,1.346666667,0.078,0.039,0.14,0.051,0.016,0.11,0.00026748571428571427,0.00035357729784721124,0.0002262,0.00042052608,0.0008830285714285715,5.337050952450342e-5,0.000663,0.00027495936
NLA12_MT-160,0.68,30.312,0.42,0.33,0.52,0.12,0.075,0.18,0.013672972972972973,0.008962250010962973,0.001218,0.0214393427027027,0.006218918918918919,0.0016720031914326202,0.00156,0.006125526486486487
NLA12_MT-161,2.04,5.32,0.69,0.54,0.86,0.064,0.05,0.079,0.001010873440285205,0.0018419536156753567,0.0020009999999999997,0.0008926459893048128,0.0004946524064171123,0.00038039318751545306,0.000832,8.279614973262033e-5
NLA12_MT-162,0.25,1.624,0.3,0.2,0.43,0.057,0.03,0.096,0.003749756097560976,0.0015231771361477293,0.00276,0.0026678634146341464,0.0016063414634146344,0.0004685775649911561,0.0015960000000000002,0.0005068940487804878
NLA12_MT-164,0.82,1.782,0.093,0.069,0.12,0.015,0.011,0.019,0.0007173584905660377,0.0006395625990814938,0.0008556,0.0005518514716981132,0.0002779245283018868,0.00020078474490034613,0.00042,8.900830188679245e-5
NLA12_MT-177,0.15,2.197333333,4.2,3.1,5.4,0.86,0.61,1.2,0.03118,0.018802724719111985,0.01218,0.0381024,0.0155475,0.0033378498066818116,0.011179999999999999,0.00780192
NLA12_NC-103,0.57,3.12,0.87,0.7,1.1,0.052,0.04,0.065,0.015423831775700935,0.0017319612765202303,0.005568,0.011591327102803738,0.0015957943925233645,0.0002129681819312091,0.0011439999999999998,0.000692814953271028
NLA12_NC-104,3.72,7.52,0.1,0.061,0.18,0.0095,0.007,0.013,0.0016657185628742514,0.001278571958885959,0.00064,0.0022738203592814372,9.251497005988024e-5,0.0003362660388096487,0.00020899999999999998,0.00021601293413173653
NLA12_NC-105,4.94,0.864,0.064,0.04,0.093,0.0047,0.003,0.0069,0.0006302509652509653,5.699707670210724e-6,0.00040960000000000004,0.0002374810193050193,0.00011985199485199485,6.401795542687527e-8,0.00010339999999999999,1.7440012355212355e-5
NLA12_NC-108,0.54,2.034285714,0.22,0.14,0.32,0.024,0.015,0.036,0.008469021739130434,0.00063656092039526,0.0014080000000000002,0.0076651826086956525,0.0013551630434782609,3.687515394025911e-5,0.0005279999999999999,0.0008362017391304349
NLA12_NC-109,0.31,2.05,0.24,0.17,0.35,0.011,0.0077,0.015,0.0009758823529411765,0.0013896755915123746,0.001536,0.000902625882352941,0.00017529411764705884,8.16645664383883e-5,0.00024199999999999997,4.1370352941176466e-5
NLA12_NC-114,0.12,56.26666667,2.2,1.8,2.7,0.2,0.15,0.25,0.08099545454545455,0.05301434265280335,0.014080000000000002,0.11923200000000002,0.008134090909090909,0.007035701305871568,0.0044,0.010839272727272729
NLA12_NC-127,0.2,7.725714286,1.7,1.4,2.0,0.16,0.12,0.2,0.008140579710144927,0.012658846832727742,0.01088,0.010217739130434781,0.0009927536231884057,0.003328900237641932,0.0035199999999999997,0.0009616695652173913
NLA12_NC-134,8.95,25.44,0.59,0.48,0.71,0.029,0.022,0.036,0.009102443087173792,0.0003398104830497669,0.003776,0.005682555024986118,0.0008452711456598186,5.6845661250327133e-5,0.000638,0.00027931202665186007
NLA12_ND-101,2.44,13.44,1.1,0.89,1.4,0.063,0.05,0.079,0.0021032520325203253,0.0018490208504362805,0.00319,0.0007211707317073172,0.0004575880758807588,0.00037675925428579284,0.000819,4.130341463414634e-5
NLA12_ND-102,1.57,59.2,2.6,2.0,3.3,0.14,0.11,0.18,0.002488185654008439,0.007942454481436332,0.00754,0.0030331139240506334,0.000639662447257384,0.0013602691866755753,0.00182,0.0001633215189873418
NLA12_ND-103,2.55,19.15,0.79,0.6,1.0,0.046,0.031,0.064,6.486486486486486e-5,0.0031055094252935666,0.002291,0.0009365688149688151,1.9750519750519752e-5,0.0006118109837001597,0.000598,5.45343866943867e-5
NLA12_ND-104,0.39,41.4,4.3,3.5,5.2,0.41,0.32,0.52,0.015993798449612403,0.013684485802277853,0.012469999999999998,0.01728,0.0045984496124031006,0.002453209088933672,0.00533,0.001647627906976744
